date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:20:28	20626/20626	---MC-	200	added ('OK')	image/png	etag:%22AAYFAg%22	http://website.roomraccoon.com/images/socialmedia/8facebook.png	C:/Users/bavli/OneDrive/Documenten/Hush%20Bed%20&%20Breakfast/Website/hushbb.nl/website.roomraccoon.com/images/socialmedia/8facebook.png	(from https://www.hushbb.nl/)
11:20:28	91369/91369	---M--	200	added ('OK')	text/javascript	date:Mon,%2030%20Sep%202024%2009:20:10%20GMT	http://website.roomraccoon.com/all_js.js?v=1.6.0f2-noimos	C:/Users/bavli/OneDrive/Documenten/Hush%20Bed%20&%20Breakfast/Website/hushbb.nl/website.roomraccoon.com/all_js1d5b.js	(from https://www.hushbb.nl/)
11:20:30	203806/203806	---M-Z	200	added ('OK')	text/html	date:Mon,%2030%20Sep%202024%2009:20:28%20GMT	https://www.hushbb.nl/boekingsvoorwaarden	C:/Users/bavli/OneDrive/Documenten/Hush%20Bed%20&%20Breakfast/Website/hushbb.nl/www.hushbb.nl/boekingsvoorwaarden.html	(from https://www.hushbb.nl/)
11:20:31	23799/23799	---MC-	200	added ('OK')	image/png	etag:%22AAYFAg%22	http://website.roomraccoon.com/images/socialmedia/8email.png	C:/Users/bavli/OneDrive/Documenten/Hush%20Bed%20&%20Breakfast/Website/hushbb.nl/website.roomraccoon.com/images/socialmedia/8email.png	(from https://www.hushbb.nl/)
11:20:32	203669/203669	---M-Z	200	added ('OK')	text/html	date:Mon,%2030%20Sep%202024%2009:20:30%20GMT	https://www.hushbb.nl/privacyverklaring	C:/Users/bavli/OneDrive/Documenten/Hush%20Bed%20&%20Breakfast/Website/hushbb.nl/www.hushbb.nl/privacyverklaring.html	(from https://www.hushbb.nl/)
11:20:34	1612/1612	---MC-	200	added ('OK')	text/css	etag:%22AAYFAg%22	http://website.roomraccoon.com/css/lightbox.css?v=1.6.0f2-noimos	C:/Users/bavli/OneDrive/Documenten/Hush%20Bed%20&%20Breakfast/Website/hushbb.nl/website.roomraccoon.com/css/lightbox1d5b.css	(from https://www.hushbb.nl/)
11:20:34	120127/120127	---MC-	200	added ('OK')	text/javascript	date:Sun,%2029%20Sep%202024%2020:42:44%20GMT	http://website.roomraccoon.com/js/xprs_helper.js?v=1.6.0f2-noimos	C:/Users/bavli/OneDrive/Documenten/Hush%20Bed%20&%20Breakfast/Website/hushbb.nl/website.roomraccoon.com/js/xprs_helper1d5b.js	(from https://www.hushbb.nl/)
11:20:34	30553/30553	---MC-	200	added ('OK')	text/css	etag:%22AAYFAg%22	http://website.roomraccoon.com/css/effects.css?v=1.6.0f2-noimos	C:/Users/bavli/OneDrive/Documenten/Hush%20Bed%20&%20Breakfast/Website/hushbb.nl/website.roomraccoon.com/css/effects1d5b.css	(from https://www.hushbb.nl/)
11:20:35	27316/27316	---MC-	200	added ('OK')	image/png	etag:%22AAYFAg%22	http://website.roomraccoon.com/images/socialmedia/8phone.png	C:/Users/bavli/OneDrive/Documenten/Hush%20Bed%20&%20Breakfast/Website/hushbb.nl/website.roomraccoon.com/images/socialmedia/8phone.png	(from https://www.hushbb.nl/)
11:20:36	15564/15564	---MC-	200	added ('OK')	text/javascript	date:Mon,%2030%20Sep%202024%2009:17:33%20GMT	http://website.roomraccoon.com/js/lightbox.js?v=1.6.0f2-noimos	C:/Users/bavli/OneDrive/Documenten/Hush%20Bed%20&%20Breakfast/Website/hushbb.nl/website.roomraccoon.com/js/lightbox1d5b.js	(from https://www.hushbb.nl/)
